,Beast,Shirt,Neck,Hat,Eyes,Best_Friend,Nemesis,Strength,Speed,Endurance,Intelligence,Wisdom,Charisma,Class,Element,Habitat,Attribute_X,Attribute_Y,Attribute Z,D_4_6_8_10_12_20
1,Snek,,,,Monocle,#3111,#2613,16,11,13,16,14,10,Warrior,Fire,Swamp,44,47,1,"4, 6, 3, 10, 12, 5"
2,Purple Hair Lion,Blue Track Jacket,,,,#1518,#6538,18,12,14,17,16,14,Thief,Earth,Island,7,54,1,"4, 1, 1, 10, 12, 14"
3,Polar Bear,Overalls,,Pink Fairy Hat,Eyepatch,#4360,#5806,13,12,7,15,12,14,Warrior,Earth,Plains,7,48,4,"4, 2, 8, 10, 5, 1"
4,Pig,Suit,,Pink Cowboy Hat,,#6875,#2197,12,14,12,13,11,12,Warrior,Fire,Mountain,4,46,1,"1, 1, 8, 7, 11, 12"
5,Blue Cat,Blue Tee,,Ribbon,,#8115,#9300,7,13,10,15,15,14,Warrior,Air,Mountain,82,50,10,"3, 6, 5, 5, 8, 7"
6,Deer,Suit,,Brown Hat,,#0369,#5190,14,17,11,8,14,13,Warrior,Fire,Plains,84,59,1,"2, 5, 6, 10, 8, 7"
7,Deer,Green Tee,,,Goggles,#1020,#9029,13,12,17,12,16,11,Thief,Fire,Swamp,16,35,22,"4, 1, 5, 3, 1, 15"
8,Pink Bear,,,Ribbon,,#1744,#3662,8,15,11,14,14,8,Mage,Water,Mountain,97,53,7,"4, 3, 8, 3, 8, 15"
9,Golden Bear,Blue Track Jacket,,Ribbon,,#6351,#3643,11,12,13,15,11,12,Mage,Water,Mountain,33,51,5,"2, 3, 3, 7, 1, 8"
10,Golden Bear,Blue Tee,,Yellow Bow,Eyepatch,#7473,#0640,11,14,12,13,13,15,Thief,Earth,Swamp,73,55,5,"1, 1, 4, 2, 2, 18"
11,Deer,White Tee,,,Green Hero Mask,#4027,#6142,15,15,14,14,13,6,Thief,Air,Island,27,33,3,"4, 6, 6, 8, 9, 18"
12,Bear,,,Wizard Hat,,#5786,#3528,13,13,15,14,16,13,Warrior,Earth,Island,67,55,1,"4, 1, 4, 8, 3, 2"
13,Sheep,Royal Coat,,Green Bow,,#9595,#3215,17,15,15,15,14,16,Mage,Air,Plains,16,41,1,"1, 1, 6, 1, 10, 18"
14,Black Bear,Red Tee,Gold Chain,Witches Hat,Pink Goggles,#0921,#4991,13,12,9,15,7,16,Mage,Fire,Plains,1,51,2,"3, 4, 5, 7, 1, 4"
15,Chick,,,Brown Hat,,#9051,#1097,11,6,10,12,13,14,Warrior,Air,Forest,93,63,3,"3, 4, 3, 3, 6, 12"
16,Purple Cat,Overalls,,Wizard Hat,,#9395,#1627,9,12,16,14,8,15,Thief,Fire,Swamp,69,55,29,"1, 1, 8, 8, 4, 8"
17,Sheep,,Gold Chain,Brown Hat,,#7945,#6906,15,12,15,14,9,14,Mage,Water,Plains,68,42,14,"3, 1, 2, 3, 2, 17"
18,Blue Cat,Red Track Jacket,,Top Hat,,#6142,#7977,13,13,10,7,13,10,Thief,Earth,Mountain,71,22,7,"1, 4, 2, 6, 3, 20"
19,Deer,Green Dress,,Top Hat,,#6262,#9197,15,13,10,10,11,15,Warrior,Water,Swamp,8,62,11,"3, 4, 7, 5, 11, 1"
20,Panda,Fancy Robe,,Lightbulb,Eyepatch,#0824,#4829,10,13,14,13,13,11,Warrior,Water,Island,73,54,9,"4, 6, 4, 4, 9, 11"
21,Green Hair Lion,,,Ribbon,,#5790,#1625,14,9,16,11,14,11,Thief,Fire,Swamp,30,54,11,"1, 3, 2, 4, 5, 12"
22,Minotaur,Black Jacket,,Green Party Hat,,#5865,#2010,10,16,13,14,11,14,Thief,Water,Forest,22,42,1,"1, 2, 6, 4, 12, 15"
23,Purple Cat,Suit,,Brown Hat,,#5119,#9339,11,13,9,12,16,11,Warrior,Fire,Forest,9,29,7,"1, 4, 8, 9, 10, 2"
24,Bear,Red Track Jacket,,Ribbon,Eyepatch,#5781,#8465,12,15,12,15,9,18,Warrior,Water,Swamp,21,36,2,"1, 5, 6, 4, 10, 5"
25,Panda,White Shirt,Bow Tie,,,#8417,#8781,10,13,16,7,16,13,Thief,Earth,Mountain,64,57,1,"4, 5, 7, 2, 6, 17"
26,Pink Bear,Scarf and Sweater,,,,#3533,#4225,16,12,10,12,17,12,Warrior,Fire,Forest,16,57,7,"1, 6, 7, 1, 6, 7"
27,Fox,Blazer Tee,,Brown Hat,Monocle,#8192,#6949,14,14,8,11,15,15,Mage,Water,Forest,73,26,31,"1, 4, 4, 7, 8, 4"
28,Poison Snek,,,Viking Helmet,,#4185,#1355,13,8,15,11,10,13,Mage,Earth,Island,9,55,1,"4, 2, 7, 6, 4, 3"
29,Duck,,,Yellow Bow,Pink Goggles,#8724,#8785,7,13,17,10,15,12,Thief,Earth,Island,39,54,20,"4, 4, 5, 10, 11, 2"
30,Fox,Brown Jacket,,,,#7640,#4528,13,13,9,12,13,17,Thief,Earth,Mountain,68,55,16,"3, 3, 6, 7, 2, 4"
31,Crow,,,,,#6762,#7343,14,11,18,12,8,15,Warrior,Earth,Mountain,54,55,17,"3, 3, 6, 4, 10, 9"
32,Lion,,,,,#2032,#4384,8,18,15,17,13,10,Warrior,Water,Plains,17,51,2,"1, 3, 5, 9, 10, 3"
33,Fox,Green Dress,,Ribbon,Eyepatch,#8004,#3716,10,12,15,12,13,14,Mage,Water,Swamp,7,36,21,"1, 1, 3, 1, 2, 6"
34,Green Cat,Red Track Jacket,,Ribbon,Pink Goggles,#6723,#0597,11,10,16,11,9,13,Thief,Water,Mountain,31,48,32,"2, 6, 1, 7, 1, 8"
35,Penguin,,,Lightbulb,,#3502,#1327,13,15,12,16,15,16,Thief,Earth,Island,39,35,19,"4, 5, 5, 5, 9, 18"
36,Rhino,Red Track Jacket,,,,#9798,#5567,14,17,16,11,13,12,Thief,Fire,Island,43,46,18,"2, 3, 7, 6, 8, 4"
37,Sheep,,Gold Chain,,,#7548,#1740,10,15,12,10,15,16,Thief,Water,Swamp,11,45,1,"1, 4, 5, 3, 3, 10"
38,Duck,,,Blue Beanie,3D Glasses,#6974,#3828,12,12,5,9,12,13,Warrior,Fire,Plains,48,69,8,"3, 2, 3, 10, 5, 14"
39,Hippo,Blue Track Jacket,,Green Bow,Eyepatch,#0228,#7227,13,12,10,14,18,10,Thief,Earth,Island,30,57,7,"1, 6, 7, 9, 9, 8"
40,Rhino,,,Straw Hat,,#0840,#6067,13,15,13,13,16,12,Mage,Fire,Forest,90,50,5,"4, 2, 8, 8, 6, 5"
41,Bear,White Shirt,,Brown Hat,Eyepatch,#0146,#8798,16,16,17,10,12,16,Warrior,Air,Island,87,49,15,"3, 2, 3, 2, 8, 18"
42,Polar Bear,Overalls,,Halo and Wings,,#7558,#2640,15,13,11,13,8,7,Thief,Earth,Swamp,33,40,4,"2, 3, 2, 9, 8, 5"
43,Seagull,,,Straw Hat,Eyepatch,#0970,#6831,12,12,11,14,12,17,Thief,Earth,Mountain,92,47,7,"4, 3, 6, 9, 3, 1"
44,Turtle,Blue Tank,,Green Party Hat,,#5114,#5160,17,11,12,10,10,14,Mage,Fire,Forest,80,46,4,"1, 6, 5, 2, 9, 17"
45,Blue Cat,Green Tee,,Top Hat,Pink Goggles,#2867,#5827,12,9,14,12,8,12,Mage,Water,Island,59,63,8,"2, 3, 4, 10, 9, 3"
46,Green Cat,Red Tee,,,,#0626,#1519,16,13,13,11,11,16,Warrior,Water,Mountain,99,48,8,"4, 5, 7, 5, 3, 6"
47,Snek,,,Straw Hat,,#3298,#3847,12,11,14,8,13,15,Thief,Water,Swamp,68,60,31,"3, 2, 3, 4, 4, 5"
48,Poison Snek,,,,,#7926,#3973,11,14,17,15,18,10,Thief,Earth,Plains,99,51,19,"3, 5, 4, 3, 8, 13"
